clip_path,label
E:/action_detection/data/frames/walking/walk_sadarghat_108,walking
E:/action_detection/data/frames/dancing/dance_nsu02_121,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_147,walking
E:/action_detection/data/frames/dancing/dance_nsu02_085,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_012,walking
E:/action_detection/data/frames/walking/walk_gulisthan_051,walking
E:/action_detection/data/frames/fighting/fight_july05_033,fighting
E:/action_detection/data/frames/fighting/fight_july01_028,fighting
E:/action_detection/data/frames/dancing/dance_nsu01_079,dancing
E:/action_detection/data/frames/fighting/fight_july03_002,fighting
E:/action_detection/data/frames/walking/walk_sadarghat_133,walking
E:/action_detection/data/frames/fighting/fight_july04_024,fighting
E:/action_detection/data/frames/dancing/dance_nsu02_041,dancing
E:/action_detection/data/frames/fighting/fight_july02_025,fighting
E:/action_detection/data/frames/walking/walk_sadarghat_091,walking
E:/action_detection/data/frames/walking/walk_gulisthan_050,walking
E:/action_detection/data/frames/dancing/dance_nsu01_111,dancing
E:/action_detection/data/frames/walking/walk_sadarghat_082,walking
E:/action_detection/data/frames/dancing/dance_nsu02_089,dancing
E:/action_detection/data/frames/walking/walk_free_005,walking
E:/action_detection/data/frames/walking/walk_sadarghat_049,walking
E:/action_detection/data/frames/walking/walk_sadarghat_021,walking
E:/action_detection/data/frames/dancing/dance_nsu01_037,dancing
E:/action_detection/data/frames/fighting/fight_july04_012,fighting
E:/action_detection/data/frames/fighting/fight_july02_022,fighting
E:/action_detection/data/frames/walking/walk_gulisthan_095,walking
E:/action_detection/data/frames/walking/walk_gulisthan_088,walking
E:/action_detection/data/frames/walking/walk_sadarghat_003,walking
E:/action_detection/data/frames/dancing/dance_nsu01_011,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_117,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_082,walking
E:/action_detection/data/frames/fighting/fight_july01_075,fighting
E:/action_detection/data/frames/walking/walk_sadarghat_103,walking
E:/action_detection/data/frames/dancing/dance_nsu01_025,dancing
E:/action_detection/data/frames/dancing/dance_nsu02_026,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_081,walking
E:/action_detection/data/frames/dancing/dance_nsu01_127,dancing
E:/action_detection/data/frames/dancing/dance_nsu01_050,dancing
E:/action_detection/data/frames/walking/walk_gulisthan_151,walking
E:/action_detection/data/frames/walking/walk_free_001,walking
E:/action_detection/data/frames/walking/walk_sadarghat_016,walking
E:/action_detection/data/frames/walking/walk_sadarghat_128,walking
E:/action_detection/data/frames/walking/walk_gulisthan_156,walking
E:/action_detection/data/frames/walking/walk_gulisthan_012,walking
E:/action_detection/data/frames/walking/walk_nepal_005,walking
E:/action_detection/data/frames/dancing/dance_nsu02_015,dancing
